Date,dr_close,local_close,fx_close,dr_equiv,local_equiv,premium_pct
2026-07-10,171.49,1480.68,1.0,171.49,148.068,15.818407758597397
2026-07-11,170.66,1475.02,1.0,170.66,147.502,15.700126099985079
2026-07-12,166.83,1429.94,1.0,166.83,142.994,16.669230876820016
2026-07-13,152.83,1241.0,1.0,152.83,124.10000000000001,23.15068493150685
2026-07-14,185.83,1414.4,1.0,185.83,141.44000000000003,31.384332579185514
2026-07-15,170.04,1287.15,1.0,170.04,128.715,32.105815173056754
2026-07-16,153.13,1188.03,1.0,153.13,118.803,28.894051497016072
2026-07-17,153.75,1156.65,1.0,153.75,115.66500000000002,32.92698742056799
2026-07-18,152.57,1154.84,1.0,152.57,115.484,32.113539537944646
2026-07-19,153.36,1174.78,1.0,153.36,117.47800000000001,30.543591140468852
2026-07-20,153.79,1202.28,1.0,153.79,120.22800000000001,27.91529427421231
2026-07-21,173.06,1335.89,1.0,173.06,133.58900000000003,29.546594405227957
2026-07-22,169.64,1299.78,1.0,169.64,129.978,30.514394743725838
2026-07-23,169.91,1283.53,1.0,169.91,128.353,32.37711623413553
2026-07-24,154.49,1168.91,1.0,154.49,116.89100000000002,32.16586392451086
2026-07-25,159.97,1226.64,1.0,159.97,122.66400000000002,30.413161155677273
2026-07-26,161.59,1224.79,1.0,161.59,122.479,31.93282113668465
